155 554 217
152 633 163
374 12 104
227 417 1
451 15 52
493 76 1
807 113 140
831 119 117
812 97 143
802 106 123
837 113 140
806 97 149
818 106 121
804 94 155
843 95 125
830 110 143
851 107 143
815 111 143
820 111 123
824 107 133
846 99 135
820 94 122
803 97 139
830 106 139
818 103 125
844 100 114
819 118 127
850 101 128
799 111 132
783 113 137
812 110 144
801 114 121
834 96 139
801 100 133
817 108 129
820 107 145
795 105 171
839 118 131
839 120 122
827 97 158
831 105 128
816 111 129
807 118 112
813 111 144
825 101 133
828 114 147
810 100 158
811 107 124
808 98 129
829 104 159
