213 486 519
206 808 270
445 189 630
419 802 101
641 181 449
479 728 99
460 804 201
424 284 655
238 904 363
558 770 287
215 847 299
244 780 402
575 393 598
450 677 412
249 889 334
626 596 596
421 347 655
541 786 200
249 877 353
641 554 592
456 818 265
579 463 617
589 493 705
250 833 363
407 880 215
634 591 567
240 672 469
569 533 481
252 700 494
235 867 393
237 841 421
235 627 468
442 637 541
786 444 650
276 518 607
228 680 474
243 767 402
226 509 507
213 596 451
530 799 276
222 490 525
415 827 212
510 768 152
221 611 497
541 847 273
221 716 457
265 529 595
230 487 540
777 466 625
233 767 453
