143 426 229
142 590 94
330 10 166
265 204 0
483 8 30
484 71 0
802 69 170
806 70 222
801 69 189
845 62 206
827 60 179
835 78 215
848 70 197
842 60 225
811 73 198
845 65 213
800 62 192
815 55 208
837 62 194
834 56 216
817 70 207
815 61 204
825 60 250
816 69 211
825 67 163
840 70 190
823 73 224
811 67 189
829 74 168
826 61 236
805 62 200
825 70 212
828 73 212
810 69 215
828 69 236
821 68 210
815 68 187
813 71 209
846 70 150
825 53 237
832 69 182
812 58 197
811 74 219
840 59 197
829 71 182
837 71 191
860 69 217
803 61 190
843 70 224
844 69 207
