76 259 1503
407 104 43
88 266 1366
304 268 392
332 141 77
114 243 1295
340 134 35
96 302 1317
295 353 587
318 218 325
86 265 1369
81 227 1413
154 243 1224
197 14 618
79 273 1410
93 289 1326
107 224 1376
119 284 1223
92 219 1386
80 267 1409
76 284 1430
216 76 593
207 42 610
77 279 1416
341 43 134
340 29 161
345 32 99
342 50 131
355 16 100
332 69 161
340 38 136
344 14 126
327 81 298
348 23 97
347 18 93
171 380 1137
345 14 108
340 33 160
193 39 685
310 238 502
325 107 294
310 250 492
83 228 1469
78 234 1461
406 91 48
322 224 254
80 243 1458
82 264 1394
72 272 1436
99 214 1416
326 100 216
194 32 683
90 262 1364
323 209 244
339 34 169
326 185 213
106 287 1301
79 283 1409
147 318 1202
106 268 1339
125 231 1273
87 212 1471
343 47 128
344 32 115
343 20 129
335 110 46
83 236 1417
95 217 1434
405 94 65
177 351 1157
189 55 760
182 328 1105
310 181 544
195 13 642
298 258 579
185 257 1024
314 153 438
312 235 380
76 267 1465
313 167 464
193 74 683
109 283 1294
106 267 1348
137 326 1193
75 287 1427
173 298 1210
158 300 1208
81 267 1388
95 216 1448
85 282 1345
88 267 1358
85 233 1440
84 226 1482
81 260 1403
159 314 1165
103 240 1370
92 251 1406
85 276 1386
97 287 1341
83 312 1368
177 299 1198
112 282 1254
153 285 1239
94 228 1389
109 218 1335
95 301 1338
86 213 1449
188 102 843
114 276 1269
199 9 632
85 280 1372
103 232 1372
184 352 1103
104 276 1306
80 231 1463
98 271 1336
101 220 1384
409 85 32
78 251 1431
94 277 1356
106 227 1369
339 59 139
211 56 600
328 162 121
317 150 364
87 218 1425
