44 0 17
39 0 28
42 0 21
43 0 18
40 0 24
43 0 18
41 0 22
39 2 27
38 3 44
43 1 17
42 1 18
40 1 23
44 3 0
33 22 49
34 21 41
37 7 37
37 6 41
36 8 43
35 11 51
35 9 62
35 10 57
37 11 35
36 7 52
36 10 39
35 12 46
37 8 36
38 4 28
38 5 27
37 5 47
39 309 3
31 91 39
40 5 21
40 309 1
41 36 1
44 2 7
39 313 1
38 313 6
38 314 4
39 43 6
38 43 11
38 44 9
39 42 7
38 42 12
39 36 8
40 34 7
39 34 12
45 0 6
37 314 8
37 315 2
40 33 13
45 1 0
37 45 10
42 6 0
36 315 8
42 4 5
42 5 2
42 3 6
41 6 6
41 7 5
41 6 6
43 4 0
30 100 36
33 127 15
41 52 0
36 127 11
30 91 45
31 92 37
32 115 22
32 127 18
34 94 23
33 115 18
31 102 33
29 123 32
30 109 32
31 110 27
32 110 23
32 89 39
30 127 23
31 106 28
31 95 36
29 113 36
36 107 15
35 128 13
34 128 14
36 128 10
35 116 14
37 107 14
37 108 13
36 108 14
35 113 15
35 92 20
35 92 20
35 96 19
32 128 16
33 106 20
32 126 20
34 111 16
33 111 19
33 111 19
34 121 15
36 44 24
35 52 24
34 50 27
35 46 25
34 45 28
36 31 33
37 30 33
29 115 34
28 112 38
30 97 38
29 102 39
28 116 36
30 94 39
40 306 3
37 37 29
38 36 13
38 36 13
36 45 15
37 44 13
35 106 16
35 89 21
34 106 17
34 51 26
33 52 25
32 52 26
33 52 25
32 106 24
33 106 20
33 94 24
34 89 24
36 38 32
35 38 34
33 40 33
35 39 32
34 39 33
36 39 26
37 39 25
31 115 23
31 127 19
34 105 21
33 126 16
30 115 28
33 105 22
31 105 29
30 126 24
46 0 0
29 126 27
40 308 2
38 315 0
44 1 14
31 46 40
35 21 40
36 21 34
39 5 23
32 45 55
43 3 5
