132 1724 1840
132 2195 1063
539 800 1874
444 1947 544
794 803 1390
639 1583 619
929 947 1793
923 967 1779
943 957 1624
939 994 1767
906 932 1732
920 982 1836
922 952 1870
905 969 2033
936 940 1839
927 951 1816
937 927 1847
939 979 1814
923 940 1701
927 944 1874
943 985 1761
912 948 1848
924 996 1743
938 930 1706
938 935 1742
925 982 1822
938 951 1785
944 1022 1838
934 985 1813
936 941 1823
917 951 1885
941 937 1917
904 920 1766
933 964 1729
925 989 1762
907 966 1646
916 994 1729
970 991 1922
960 1002 1880
911 1028 1854
910 984 1799
950 1042 1819
931 990 1988
940 976 1969
924 965 1914
922 962 1766
929 963 1805
926 1031 1721
939 992 1789
936 943 1698
